id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,flip_delta,similarity,bleu,perplexity,edit_dist_norm,paraphrase_score,is_surface_edit,error_type,clf_correct
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays April Fools' joke of pretending to go to the moon.,satire,0,0,0,0,0,1,0,0,-0.0196923017501831,1,0.4990304708480835,0,0.1606566309928894,0,-0.0196923017501831,0.9637144804000854,0.0280530294914196,57.348087310791016,0.8666666666666667,0.9366793696601136,False,TN,1
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.6491420269012451,0,0.2435484528541565,0,0.0095582008361816,0,-0.6491420269012451,0.8820839524269104,0.0042019136744146,140.74127197265625,1.0,0.878377511805226,False,FN,0
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,Black half of tiger Woods was tased by cops after Asian half Crashes a car.,satire,0,0,0,0,0,1,0,0,-0.1242477297782898,0,0.3304362893104553,0,0.0487730503082275,0,-0.1242477297782898,0.9702281951904296,0.01869300079996,406.9839782714844,0.7333333333333333,0.9520917187615912,False,TN,1
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report indicates that the reason TV shows take so long to make now is because they are,irony,0,0,0,0,1,0,0,0,-0.096207857131958,0,0.0219892263412475,0,0.1338176727294922,0,-0.096207857131958,0.8027968406677246,0.0108456657547775,39.393436431884766,1.0,0.7940899744648511,False,TN,1
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",BREAKING: the united Nations praises Singapore for numerous political scandals.,satire,0,0,0,0,0,1,0,0,0.0167825818061828,0,0.2030864357948303,0,-0.0369747877120971,0,0.0167825818061828,0.9336631298065186,0.2176314120475633,928.2578735351562,0.5714285714285714,0.7304687044899785,False,TN,1
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,NCUS entered the top 10 in a ranking of world's universities who base their identity on their rankings.,satire,0,0,0,0,1,0,0,0,-0.0777511596679687,1,0.5102163553237915,0,-0.1698084473609924,0,-0.0777511596679687,0.8105138540267944,0.549995519064483,94.00180053710938,0.3888888888888889,0.364734866172373,False,TN,1
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to don trump and bird enthusiast,irony,0,0,0,0,0,1,0,0,-0.1012300848960876,0,0.0014915466308593,0,0.088828444480896,0,-0.1012300848960876,0.9271873831748962,0.1313454947212079,762.968017578125,0.5,0.8054054976325273,False,TN,1
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,Karoline Leavitt said Americans were not smart enough to accept the word of a constantly lying regime and the jokes were written themselves.,sarcasm,0,0,0,0,1,0,0,0,0.0961078405380249,0,0.0011317729949951,0,0.0666828751564025,0,0.0961078405380249,0.9796974658966064,0.6522125981013674,118.73641204833984,0.25,0.3407264363108549,False,TN,1
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce Australia's children social media ban.,irony,1,1,1,1,0,1,1,0,0.0017823576927185,0,0.0051384568214416,0,0.036163330078125,0,0.0017823576927185,0.880212664604187,0.027710919541451,260.5328369140625,0.8666666666666667,0.8558211622759742,False,FN,0
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users.,sarcasm,0,0,0,0,0,1,0,0,-0.0014805197715759,0,0.0016428232192993,0,0.0448850989341735,0,-0.0014805197715759,0.978164553642273,0.8070557274927982,402.3163146972656,0.1666666666666666,0.1887312481948401,True,TN,1
